name,descrizione,colori,image_url,marca
Griglia quadra da incasso,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,N/A,/images/first_corporation_prodotti/Grigliaquadradaincasso.webp,First Corporation
Griglia ad alette fisse con imbocchi,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,N/A,/images/first_corporation_prodotti/Grigliaadalettefisseconimbocchi.webp,First Corporation
Anemostato da incasso, Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/Anemostatodaincasso.webp,First Corporation
"Angolare per griglia componibile tipo G, H, L, Z",Indispensabili per comporre e chiudere la composizione della griglia Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/AngolarepergrigliacomponibiletipoGHLZ.webp,First Corporation
Bocchetta di mandata,Le griglie di aerazione per il condizionamento sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Alluminio.,"Alluminio, Alluminio Bianco",/images/first_corporation_prodotti/Bocchettadimandata.webp,First Corporation
Griglia di ripresa GP,Ad alette oblique 45° Materiale: Alluminio.,"Alluminio, Alluminio Bianco",/images/first_corporation_prodotti/GrigliadiripresaGP.webp,First Corporation
Griglia di ripresa GPC con controcornice,Controcornice ed alette oblique a 45° Materiale: Alluminio.,"Alluminio, Alluminio Bianco",/images/first_corporation_prodotti/GrigliadiripresaGPCconcontrocornice.webp,First Corporation
Griglia di transito GTC con controcornice,"Controcornice e profilo alette a “V” per porte, pareti e pannelli Materiale: Alluminio.","Alluminio Anodizzato, Alluminio Bronzo, Alluminio Verniciato Bianco",/images/first_corporation_prodotti/GrigliaditransitoGTCconcontrocornice.webp,First Corporation
Griglie di transito GT,"Profilo alette a “V” per porte, pareti e pannelli Materiale: .",N/A,/images/first_corporation_prodotti/GriglieditransitoGT.webp,First Corporation
"Bordo lineare per griglia componibile tipo G, H, L, Z","Bordi angolari da sovrapporre per griglia componibile tipo G, H, L, Z, X Materiale: ABS.","Bianco, Marrone, Nero",/images/first_corporation_prodotti/BordolinearepergrigliacomponibiletipoGHLZ.webp,First Corporation
"Convogliatore per griglia componibile G, H, L, S, Z",Favorisce il collegamento tra la griglia di ventilazione e il sistema di aerazione canalizzata Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/ConvogliatorepergrigliacomponibileGHLSZ.webp,First Corporation
Coppia di griglie in metacrilato per vetri,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: Metalcrilato.,N/A,/images/first_corporation_prodotti/Coppiadigriglieinmetacrilatopervetri.webp,First Corporation
Griglia ad alette a gravità con imbocchi,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,N/A,/images/first_corporation_prodotti/Grigliaadaletteagravitàconimbocchi.webp,First Corporation
Griglia componibile tipo “H” da incasso,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/GrigliacomponibiletipoHdaincasso.webp,First Corporation
Griglia componibile tipo “H” da sovrapporre,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/GrigliacomponibiletipoHdasovrapporre.webp,First Corporation
Griglia componibile tipo “L” da incasso,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/GrigliacomponibiletipoLdaincasso.webp,First Corporation
Griglia componibile tipo “L” da sovrapporre,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/GrigliacomponibiletipoLdasovrapporre.webp,First Corporation
Griglia componibile tipo “S” da incasso con alette a gravità,Le alette consentono il passagio dell’aria in una sola direzione e impediscono il ritorno di spifferi e odori Materiale: ABS.,N/A,/images/first_corporation_prodotti/GrigliacomponibiletipoSdaincassoconaletteagravità.webp,First Corporation
Griglia componibile tipo “S” da sovrapporre con alette a gravità,Le alette consentono il passagio dell’aria in una sola direzione e impediscono il ritorno di spifferi e odori Materiale: ABS.,N/A,/images/first_corporation_prodotti/GrigliacomponibiletipoSdasovrapporreconaletteagravità.webp,First Corporation
Griglia componibile tipo “Z” da incasso con alette orientabili,Possibilità di orientare da 0° a 135° e convogliare l’aria nella direzione voluta Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/GrigliacomponibiletipoZdaincassoconaletteorientabili.webp,First Corporation
Griglia con elettroventola,Indispensabile per creare l’aerazione forzata dei camini Materiale: Alluminio.,N/A,/images/first_corporation_prodotti/Grigliaconelettroventola.webp,First Corporation
Griglia da incasso “Flow”,Le griglie di aerazione per camino sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Acciaio.,"Bianco, Nero",/images/first_corporation_prodotti/GrigliadaincassoFlow.webp,First Corporation
Griglia da incasso “Flow” con serranda,Le griglie di aerazione per camino sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Acciaio.,"Bianco, Nero",/images/first_corporation_prodotti/GrigliadaincassoFlowconserranda.webp,First Corporation
Griglia da incasso “Loft”,Le griglie di aerazione per camino sono indispensabili per favorirne la mandata dell’aria Materiale: Acciaio.,"Bianco, Nero",/images/first_corporation_prodotti/GrigliadaincassoLoft.webp,First Corporation
Griglia da incasso con alette fisse,Le griglie di aerazione per camino sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Acciaio.,"Bianco, Nero",/images/first_corporation_prodotti/Grigliadaincassoconalettefisse.webp,First Corporation
Griglia da incasso con alette regolabili,Le griglie di aerazione per camino sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Acciaio.,"Bianco, Nero",/images/first_corporation_prodotti/Grigliadaincassoconaletteregolabili.webp,First Corporation
Griglia da incasso con alette regolabili,Le griglie di aerazione per camino sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Acciaio.,"Bianco, Nero",/images/first_corporation_prodotti/Grigliadaincassoconaletteregolabili.webp,First Corporation
Griglia da incasso con rete esterna,Le griglie di aerazione per camino sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Acciaio.,"Bianco, Grafite, Inox, Nero Martellato, Oro, Rame",/images/first_corporation_prodotti/Grigliadaincassoconreteesterna.webp,First Corporation
Griglia da incasso con serranda,Le griglie di aerazione per camino sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Alluminio.,"Alluminio, Alluminio Bianco",/images/first_corporation_prodotti/Grigliadaincassoconserranda.webp,First Corporation
Griglia da incasso con serranda,Le griglie di aerazione per camino sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Alluminio.,"Alluminio, Alluminio Bianco",/images/first_corporation_prodotti/Grigliadaincassoconserranda.webp,First Corporation
Griglia da incasso con serranda,Le griglie di aerazione per camino sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Alluminio.,"Alluminio, Alluminio Bianco",/images/first_corporation_prodotti/Grigliadaincassoconserranda.webp,First Corporation
Griglia da incasso con serranda e rete esterna,Le griglie di aerazione per camino sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Acciaio.,"Bianco, Grafite, Inox, Nero Martellato, Oro, Rame",/images/first_corporation_prodotti/Grigliadaincassoconserrandaereteesterna.webp,First Corporation
Griglia da incasso filo muro,Le griglie di aerazione per camino sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Acciaio.,"Bianco, Nero",/images/first_corporation_prodotti/Grigliadaincassofilomuro.webp,First Corporation
Griglia da incasso per fori da ø 80 a 200 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: METALLO.,"Alluminio, Alluminio Bianco, Alluminio Ramato, Rame",/images/first_corporation_prodotti/Grigliadaincassoperforidaø80a200mm.webp,First Corporation
Griglia da incasso per fori da ø 80 a 200 mm con imbocco in plastica,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: METALLO.,"Alluminio, Rame",/images/first_corporation_prodotti/Grigliadaincassoperforidaø80a200mmconimboccoinplastica.webp,First Corporation
Griglia da incasso per mobili,Le griglie di aerazione sono indispensabili per favorire il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Grigio, Marrone, Nero",/images/first_corporation_prodotti/Grigliadaincassopermobili.webp,First Corporation
Griglia da incasso per mobili,Le griglie di aerazione sono indispensabili per favorire il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Grigio, Marrone, Nero",/images/first_corporation_prodotti/Grigliadaincassopermobili.webp,First Corporation
Griglia da incasso rettangolare serie “GF”,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: METALLO.,"Alluminio Anodizzato, Alluminio Anodizzato Bianco Verniciato, Alluminio Marrone, Alluminio Nero, Bronzo Anodizzato, Oro Anodizzato",/images/first_corporation_prodotti/GrigliadaincassorettangolareserieGF.webp,First Corporation
Griglia da incasso serie “S” per fori da ø 80 a 125 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: METALLO.,"Alluminio, Inox, Rame",/images/first_corporation_prodotti/GrigliadaincassoserieSperforidaø80a125mm.webp,First Corporation
Griglia di mandata aria,Le griglie di aerazione per camino sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Alluminio.,"Alluminio, Alluminio Bianco",/images/first_corporation_prodotti/Grigliadimandataaria.webp,First Corporation
Griglia di ripresa aria ad alette oblique,Le griglie di aerazione per camino sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Alluminio.,"Alluminio, Alluminio Bianco",/images/first_corporation_prodotti/Grigliadiripresaariaadaletteoblique.webp,First Corporation
Griglia di ripresa aria ad alette oblique,Le griglie di aerazione per camino sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Alluminio.,"Alluminio, Alluminio Bianco",/images/first_corporation_prodotti/Grigliadiripresaariaadaletteoblique.webp,First Corporation
Griglia estetica,Le griglie di aerazione per camino sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Acciaio.,"Beige, Bianco, Grafite, Nero",/images/first_corporation_prodotti/Grigliaestetica.webp,First Corporation
Griglia in alluminio da incasso con serranda,Le griglie di aerazione per camino sono indispensabili per favorirne la ripresa e la mandata dell’aria Materiale: Alluminio.,"Alluminio, Alluminio Bianco",/images/first_corporation_prodotti/Grigliainalluminiodaincassoconserranda.webp,First Corporation
Griglia in Ceramica modello DALIA,Gres ceramico esteticamente molto elegante e antigelivo Materiale: Ceramica.,"Porcellanato Bianco, Porcellanato Cotto, Smaltato",/images/first_corporation_prodotti/GrigliainCeramicamodelloDALIA.webp,First Corporation
Griglia in Ceramica modello IRIS,Gres ceramico esteticamente molto elegante e antigelivo Materiale: Ceramica.,"Porcellanato Bianco, Porcellanato Cotto, Smaltato",/images/first_corporation_prodotti/GrigliainCeramicamodelloIRIS.webp,First Corporation
Griglia in Ceramica modello MIMOSA,Gres ceramico esteticamente molto elegante e antigelivo Materiale: Ceramica.,"Porcellanato Bianco, Porcellanato Cotto, Smaltato",/images/first_corporation_prodotti/GrigliainCeramicamodelloMIMOSA.webp,First Corporation
Griglia in Ceramica modello PRIMULA,Gres ceramico esteticamente molto elegante e antigelivo Materiale: Ceramica.,"Porcellanato Bianco, Porcellanato Cotto, Smaltato",/images/first_corporation_prodotti/GrigliainCeramicamodelloPRIMULA.webp,First Corporation
Griglia in legno ad alette dritte LINEA WOOD,Esteticamente molto elegante e disponibile in due essenze Materiale: Legno.,"Pino Rosso, Quercia",/images/first_corporation_prodotti/GrigliainlegnoadalettedritteLINEAWOOD.webp,First Corporation
Griglia in legno ad alette inclinate LINEA WOOD,Esteticamente molto elegante e disponibile in varie essenze Materiale: Legno.,"Faggio, Pino Rosso, Quercia, Quercia Laccata",/images/first_corporation_prodotti/GrigliainlegnoadaletteinclinateLINEAWOOD.webp,First Corporation
Griglia in legno quadra LINEA WOOD,Esteticamente molto elegante e disponibile in varie essenze Materiale: Legno.,"Faggio, Pino Rosso, Quercia, Quercia Laccata",/images/first_corporation_prodotti/GrigliainlegnoquadraLINEAWOOD.webp,First Corporation
Griglia in legno tonda LINEA WOOD,Esteticamente molto elegante e disponibile in varie essenze Materiale: Legno.,"Faggio, Pino Rosso, Quercia, Quercia Laccata",/images/first_corporation_prodotti/GrigliainlegnotondaLINEAWOOD.webp,First Corporation
"Griglia per mobili, cassonetti e serramenti",Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/Grigliapermobilicassonettieserramenti.webp,First Corporation
"Griglia per mobili, cassonetti e serramenti",Le griglie di aerazione sono indispensabili per favorire il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone",/images/first_corporation_prodotti/Grigliapermobilicassonettieserramenti.webp,First Corporation
"Griglia per mobili, cassonetti e serramenti",Le griglie di aerazione sono indispensabili per favorire il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/Grigliapermobilicassonettieserramenti.webp,First Corporation
"Griglia per mobili, cassonetti e serramenti",Le griglie di aerazione sono indispensabili per favorire il corretto ricambio dell’aria Materiale: ABS.,N/A,/images/first_corporation_prodotti/Grigliapermobilicassonettieserramenti.webp,First Corporation
"Griglia per mobili, cassonetti e serramenti",Le griglie di aerazione sono indispensabili per favorire il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone",/images/first_corporation_prodotti/Grigliapermobilicassonettieserramenti.webp,First Corporation
Griglia per serramenti,Le griglie di aerazione sono indispensabili per favorire il corretto ricambio dell’aria Materiale: ABS.,N/A,/images/first_corporation_prodotti/Grigliaperserramenti.webp,First Corporation
Griglia quadra componibile tipo “G” da incasso,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/GrigliaquadracomponibiletipoGdaincasso.webp,First Corporation
Griglia quadra componibile tipo “G” da sovrapporre,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/GrigliaquadracomponibiletipoGdasovrapporre.webp,First Corporation
Griglia quadra e rettangolare antisfondamento,Griglie di aerazione rettangolare in alluminio pressofuso Materiale: Alluminio Pressofuso.,N/A,/images/first_corporation_prodotti/Grigliaquadraerettangolareantisfondamento.webp,First Corporation
Griglia quadra e rettangolare da sovrapporre,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: METALLO.,"Alluminio Bianco, Alluminio Ramato, Aluzink, Inox, Rame",/images/first_corporation_prodotti/Grigliaquadraerettangolaredasovrapporre.webp,First Corporation
Griglia quadra e rettangolare universale per fori da ø 100 a 160 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: METALLO.,"Alluminio Bianco, Aluzink, Inox, Rame",/images/first_corporation_prodotti/Grigliaquadraerettangolareuniversaleperforidaø100a160mm.webp,First Corporation
Griglia quadra tipo “G” da incasso con alette dritte,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,N/A,/images/first_corporation_prodotti/GrigliaquadratipoGdaincassoconalettedritte.webp,First Corporation
Griglia quadra tipo “G” da incasso con alette inclinate,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone",/images/first_corporation_prodotti/GrigliaquadratipoGdaincassoconaletteinclinate.webp,First Corporation
Griglia quadra tipo “G” da sovrapporre con alette dritte,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,N/A,/images/first_corporation_prodotti/GrigliaquadratipoGdasovrapporreconalettedritte.webp,First Corporation
Griglia quadra tipo “G” da sovrapporre con alette inclinate,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/GrigliaquadratipoGdasovrapporreconaletteinclinate.webp,First Corporation
Griglia quadrata a sovrapporre 227×227 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Ramato",/images/first_corporation_prodotti/Grigliaquadrataasovrapporre227227mm.webp,First Corporation
Griglia quadrata da sovrapporre,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: METALLO.,N/A,/images/first_corporation_prodotti/Grigliaquadratadasovrapporre.webp,First Corporation
Griglia quadrata da sovrapporre 140×140 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: METALLO.,"Alluminio Argento, Aluminio Bianco, Aluzink, Bianco, Grigio, Inox, Marrone, Nero, Rame",/images/first_corporation_prodotti/Grigliaquadratadasovrapporre140140mm.webp,First Corporation
Griglia quadrata da sovrapporre 240×240 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: METALLO.,"Alluminio Argento, Aluminio Bianco, Aluzink, Bianco, Grigio, Inox, Marrone, Nero, Rame",/images/first_corporation_prodotti/Grigliaquadratadasovrapporre240240mm.webp,First Corporation
Griglia rettangolare a sovrapporre 175×146 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Ramato",/images/first_corporation_prodotti/Grigliarettangolareasovrapporre175146mm.webp,First Corporation
Griglia rettangolare a sovrapporre 204×230 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Ramato",/images/first_corporation_prodotti/Grigliarettangolareasovrapporre204230mm.webp,First Corporation
Griglia rettangolare a sovrapporre 227×80 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Ramato",/images/first_corporation_prodotti/Grigliarettangolareasovrapporre22780mm.webp,First Corporation
Griglia rettangolare a sovrapporre 500×227 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Ramato",/images/first_corporation_prodotti/Grigliarettangolareasovrapporre500227mm.webp,First Corporation
Griglia rettangolare componibile tipo “G” da incasso,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/GrigliarettangolarecomponibiletipoGdaincasso.webp,First Corporation
Griglia rettangolare componibile tipo “G” da sovrapporre,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/GrigliarettangolarecomponibiletipoGdasovrapporre.webp,First Corporation
Griglia rettangolare da sovrapporre,Griglie di aerazione in alluminio rettangolari con dosatore e pomellino metallico Materiale: METALLO.,N/A,/images/first_corporation_prodotti/Grigliarettangolaredasovrapporre.webp,First Corporation
Griglia rettangolare da sovrapporre 100×60 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: METALLO.,"Alluminio Argento, Aluzink, Bianco, Grigio, Inox, Marrone, Nero, Rame",/images/first_corporation_prodotti/Grigliarettangolaredasovrapporre10060mm.webp,First Corporation
Griglia rettangolare da sovrapporre 140×240 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: METALLO.,"Alluminio Argento, Aluminio Bianco, Aluzink, Bianco, Grigio, Inox, Marrone, Nero, Rame",/images/first_corporation_prodotti/Grigliarettangolaredasovrapporre140240mm.webp,First Corporation
Griglia rettangolare da sovrapporre 200×60 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: METALLO.,"Alluminio Argento, Aluzink, Bianco, Grigio, Inox, Marrone, Nero, Rame",/images/first_corporation_prodotti/Grigliarettangolaredasovrapporre20060mm.webp,First Corporation
Griglia rettangolare da sovrapporre 240×140 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: METALLO.,"Alluminio Argento, Aluminio Bianco, Aluzink, Bianco, Grigio, Inox, Marrone, Nero, Rame",/images/first_corporation_prodotti/Grigliarettangolaredasovrapporre240140mm.webp,First Corporation
Griglia rettangolare da sovrapporre 300×60 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: METALLO.,"Alluminio Argento, Aluzink, Bianco, Grigio, Inox, Marrone, Nero, Rame",/images/first_corporation_prodotti/Grigliarettangolaredasovrapporre30060mm.webp,First Corporation
