name,brand,description,image_url,category,product_url
35725 – DECESPUGLIATORE 4T HYUNDAI 31CC,Hyundai,"Decespugliatore a scoppio 4 tempi da 31 cc con potenza di 1,5 HP e velocità fino a 10.500 rpm. Motore a benzina conforme alla normativa EURO 5, con serbatoio da 0,7 L. Dotato di impugnatura ergonomica, testina a filo, disco in metallo a 8 denti e asta da 28 mm. Inclusi maschera protettiva, tracolla comfort e doppio imballo.",/images/hyundai_prodotti/35725DECESPUGLIATORE4THYUNDAI31CC.webp,DECESPUGLIATORE,https://www.vincoasti.com/prodotto/35725-decespugliatore-4t-hyundai-31cc/
35290 – DECESPUGLIAT. A ZAINO HYUNDAI TT-BG520-2,Hyundai,"Decespugliatore Hyundai a zaino ergonomico con impugnatura diritta con nuova impugnatura softgrip, dotato di testina con fili di nylon e disco per il taglio delle erbe più resistenti. Grazie al montaggio su zaino il motore ruota sul suo supporto e per mette un utilizzo prolungato senza stancarsi. Avviamento più semplice con Easystart. Il peso è ai minimi della categoria – solo 12 kg – e il lavoro risulta più confortevole e più leggero. Motore potente e affidabile per una maggiore velocità di lavoro. L’imballo contiene: 1 decespugliatore su zaino – 1 testina in nylon – 1 disco da taglio in acciaio – set di chiavi – tanica per miscela.",/images/hyundai_prodotti/35290DECESPUGLIATAZAINOHYUNDAITT-BG520-2.webp,DECESPUGLIATORE,https://www.vincoasti.com/prodotto/35290-decespugliat-a-zaino-hyundai-tt-bg520-2/
35270 – DECESPUGLIATORE 25CC LDBC260,Hyundai,"Decespugliatore Hyundai con testina in nylon, impugnatura ergonomica e diritta, dotato di testina con fili di nylon e disco per il taglio delle erbe più resistenti. Leggero e maneggevole per una maggiore velocità di lavoro. L’imballo contiene: 1 decespugliatore – 1 testina in nylon – 1 disco da taglio -1 tracolla – set di chiavi – tanica per miscela.",/images/hyundai_prodotti/35270DECESPUGLIATORE25CCLDBC260.webp,DECESPUGLIATORE,https://www.vincoasti.com/prodotto/35270-decespugliatore-25cc-ldbc260/
35220 – DECESPUGLIATORE HYUNDAI LDBC520,Hyundai,"Decespugliatore Hyundai con testina in nylon, impugnatura ergonomica softgrip, dotato di testina con fili di nylon e disco per il taglio delle erbe più resistenti. Motore più potente e maggiore velocità di lavoro. L’imballo contiene: 1 decespugliatore – 1 testina in nylon – 1 disco da taglio in acciaio – 1 tracolla – set di chiavi – tanica per miscela.",/images/hyundai_prodotti/35220DECESPUGLIATOREHYUNDAILDBC520.webp,DECESPUGLIATORE,https://www.vincoasti.com/prodotto/35220-decespugliatore-hyundai-ldbc520/
35250 – DECESPUGLIATORE 4IN1 HYUNDAI LDMT430 NEW,Hyundai,"Decespugliatore Hyundai 4 in 1: decespugliatore per erbe, taglio arbusti, tagliasiepi, potatore. Ideale per tutti i lavori di manutenzione di piccoli giardini e frutteti. Basta sostituire il terminale dell’asta con l’accessorio adatto e non è più necessario possedere più attrezzi, ma soltanto uno! Impugnatura ergonomica e diritta ad innesto rapido. L’imballo contiene: 1 decespugliatore, 1 testina a filo in nylon – 1 disco da taglio in acciaio – 1 lama tagliasiepi – 1 accessorio motosega potatore – 1 tracolla – set chiavi – tanica per miscela.",/images/hyundai_prodotti/35250DECESPUGLIATORE4IN1HYUNDAILDMT430NEW.webp,DECESPUGLIATORE,https://www.vincoasti.com/prodotto/35250-decespugliatore-4in1-hyundai-ldmt430-new/
35280 – DECESPUGLIATORE PRO HYUNDAI XT-BC508-1,Hyundai,"Decespugliatore Hyundai con impugnatura ergonomica e diritta, dotato di testina con fili di nylon e disco per il taglio delle erbe più resistenti. Grazie all’impugnatura a manubrio con antivibrazioni e alla tracolla ergonomica il lavoro risulta più confortevole e più leggero. Motore potente per una maggiore velocità di lavoro. L’imballo contiene: 1 decespugliatore – 1 testina in nylon – 1 disco da taglio in acciaio – 1 tracolla ergonomica – set di chiavi – tanica per miscela.",/images/hyundai_prodotti/35280DECESPUGLIATOREPROHYUNDAIXT-BC508-1.webp,DECESPUGLIATORE,https://www.vincoasti.com/prodotto/35280-decespugliatore-pro-hyundai-xt-bc508-1/
"35235 – DECESPUGLIATORE HYUNDAI 53,2 CC",Hyundai,"Decespugliatore a scoppio con motore Kawasaki 2 tempi da 53,2 cc e potenza di 2,7 HP. Ideale per la cura di giardini e aiuole, dotato di testina con filo in nylon, lama a 8 denti, impugnatura comfort e spallaccio. Asta Ø 28 mm, serbatoio da 1,1 L, 7500 rpm, rumorosità 114 dB. Robusto, potente e affidabile per un uso intensivo.",/images/hyundai_prodotti/35235DECESPUGLIATOREHYUNDAI532CC.webp,DECESPUGLIATORE,https://www.vincoasti.com/prodotto/35235-decespugliatore-hyundai-532-cc/
35240 – DECESPUGLIATORE HYUNDAI A RUOTE 52CC 1.45 KW,Hyundai,"Decespugliatore con ruote Hyundai, dotato di testina con filo di nylon e disco per il taglio delle erbe più resistenti. Grazie alle ruota il motore scarica il suo peso al suolo, permettendo un utilizzo prolungato senza stancarsi. Motore potente e affidabile per una maggiore velocità di lavoro. L’imballo contiene: 1 decespugliatore – 1 testina in nylon – 1 disco da taglio in acciaio – set di chiavi – tanica per miscela.",/images/hyundai_prodotti/35240DECESPUGLIATOREHYUNDAIARUOTE52CC145KW.webp,DECESPUGLIATORE,https://www.vincoasti.com/prodotto/35240-decespugliatore-hyundai-a-ruote-52cc-1-45-kw/
35200 – DECESPUGLIATORE HYUNDAI LDBC330C,Hyundai,"Decespugliatore Hyundai con testina in nylon, impugnatura ergonomica softgrip e diritta, dotato di testina con fili di nylon e disco per il taglio delle erbe più resistenti. Avviamento più facile grazie all’easystart.L’imballo contiene: 1 decespugliatore – 1 testina in nylon – 1 disco da taglio in acciaio – 1 tracolla – set di chiavi – tanica per miscela.",/images/hyundai_prodotti/35200DECESPUGLIATOREHYUNDAILDBC330C.webp,DECESPUGLIATORE,https://www.vincoasti.com/prodotto/35200-decespugliatore-hyundai-ldbc330c/
35612 – ELETTROPOMPA HYUNDAI Q750B23M 750W,Hyundai,"Elettropompa a immersione Hyundai per l’aspirazione di acque chiare e scure per utilizzo medio. La possibilità di aspirare acque scure permette un utilizzo con acque torbide e particelle in sospensione, caratteristica che la rende ideale per il drenaggio di acque di infiltrazione, irrigazione di orti e giardini, utilizzo in emergenza in caso di allagamenti. Dotato di galleggiante per l’azionamento automatico. Profondità massima di uso di m.7, altezza massima m.8,5, flusso massimo 13,0 m^3/h. Dotato di protezione termica. Risponde alla classificazione IPX8 (impermeabilità completa anche oltre mt 1 di acqua). Il corpo in resina antiurto garantisce durata nel tempo e resistenza agli ambienti umidi. Il cavo di alimentazione è lungo ben 10mt per facilitare l’utilizzo lontano da fonti energetiche. L’imballo contiene: 1 elettropompa con galleggiante",/images/hyundai_prodotti/35612ELETTROPOMPAHYUNDAIQ750B23M750W.webp,ELETTROPOMPE,https://www.vincoasti.com/prodotto/35612-elettropompa-hyundai-q750b23m-750w/
35622 – ELETTROPOMPA HY 1.2KW ACCIAIO INOX 25MM,Hyundai,Elettropompa a immersione Hyundai per l’aspirazione di acque chiare. Sistema brevettato che permette di raggiungere un’altezza di aspirazione fino a 40m. Applicabile per profondità elevate come pozzi. L’imballo contiene: 1 elettropompa,/images/hyundai_prodotti/35622ELETTROPOMPAHY12KWACCIAIOINOX25MM.webp,ELETTROPOMPE,https://www.vincoasti.com/prodotto/35622-elettropompa-hy-1-2kw-acciaio-inox-25mm/
35613 – ELETTROPOMPA HYUNDAI Q55054M 550W,Hyundai,"Elettropompa a immersione Hyundai con corpo in acciaio inox ad alta resistenza. Adatta per l’aspirazione di acque chiare e utilizzo occasionale. Ideale per il drenaggio di acque di infiltrazione, irrigazione di piccoli giardini, utilizzo in emergenza in caso di allagamenti. Dotato di galleggiante per l’azionamento automatico. Profondità massima di uso di m.7, altezza massima m.7,5, flusso massimo 8,5 m^3/h. Dotato di protezione termica. Risponde alla classificazione IPX8 (impermeabilità completa anche oltre mt 1 di acqua). Il corpo in acciaio inox garantisce durata nel tempo e resistenza agli ambienti umidi. Il cavo di alimentazione è lungo ben 10mt per facilitare l’utilizzo lontano da fonti energetiche. L’imballo contiene: 1 elettropompa con galleggiante",/images/hyundai_prodotti/35613ELETTROPOMPAHYUNDAIQ55054M550W.webp,ELETTROPOMPE,https://www.vincoasti.com/prodotto/35613-elettropompa-hyundai-q55054m-550w/
35614 – ELETTROPOMPA HYUNDAI Q750B52RM 750W,Hyundai,"Elettropompa a immersione Hyundai per l’aspirazione di acque chiare e scure per utilizzo medio. La possibilità di aspirare acque scure permette un utilizzo con acque torbide e particelle in sospensione, caratteristica che la rende ideale per il drenaggio di acque di infiltrazione, irrigazione di orti e giardini, utilizzo in emergenza in caso di allagamenti. Dotato di galleggiante per l’azionamento automatico. Profondità massima di uso di m.7, altezza massima m.8, flusso massimo 13,0 m^3/h. Dotato di protezione termica. Risponde alla classificazione IPX8 (impermeabilità completa anche oltre mt 1 di acqua). Il corpo in resina antiurto garantisce durata nel tempo e resistenza agli ambienti umidi. Il cavo di alimentazione è lungo ben 10mt per facilitare l’utilizzo lontano da fonti energetiche. L’imballo contiene: 1 elettropompa con galleggiante",/images/hyundai_prodotti/35614ELETTROPOMPAHYUNDAIQ750B52RM750W.webp,ELETTROPOMPE,https://www.vincoasti.com/prodotto/35614-elettropompa-hyundai-q750b52rm-750w/
35621 – ELETTROPOMPA HYUNDAI 250W RESINA PER ACQUE CHIARE,Hyundai,"Elettropompa a immersione Hyundai per l’aspirazione di acque chiare. Ideale per pozzi artesiani ed irrigazione di piccoli giardini. Profondità massima di uso di m.20, prevalenza massima m.100, portata massima 45 litri/min. Il corpo in acciaio inox garantisce durata nel tempo e resistenza agli ambienti umidi. Il cavo di alimentazione è lungo ben 20mt per facilitare l’utilizzo lontano da fonti energetiche. L’imballo contiene: 1 elettropompa",/images/hyundai_prodotti/35621ELETTROPOMPAHYUNDAI250WRESINAPERACQUECHIARE.webp,ELETTROPOMPE,https://www.vincoasti.com/prodotto/35621-elettropompa-hyundai-250w-resina-per-acque-chiare/
35620 – ELETTROPOMPA HY 1.1KW ACCIAIO INOX 50MM PER FOGNATURE,Hyundai,"Elettropompa a immersione Hyundai per l’aspirazione di acque chiare e scure. Ideale per fognature, drenaggio di acque di infiltrazione, irrigazione di piccoli giardini, utilizzo in emergenza in caso di allagamenti. Dotato di galleggiante per l’azionamento automatico. Profondità massima di uso di m.5, prevalenza massima m.13, portata massima 310 litri/min. Il corpo in acciaio inox garantisce durata nel tempo e resistenza agli ambienti umidi. Il cavo di alimentazione è lungo ben 8mt per facilitare l’utilizzo lontano da fonti energetiche. L’imballo contiene: 1 elettropompa con galleggiante",/images/hyundai_prodotti/35620ELETTROPOMPAHY11KWACCIAIOINOX50MMPERFOGNATURE.webp,ELETTROPOMPE,https://www.vincoasti.com/prodotto/35620-elettropompa-hy-1-1kw-acciaio-inox-50mm-per-fognature/
35610 – ELETTROPOMPA HYUNDAI Q25023M 250W,Hyundai,"Elettropompa a immersione Hyundai per l’aspirazione di acque chiare per utilizzo occasionale. Ideale per il drenaggio di acque di infiltrazione, irrigazione di piccoli giardini, utilizzo in emergenza in caso di allagamenti. Dotato di galleggiante per l’azionamento automatico. Profondità massima di uso di m.7, altezza massima m.6, flusso massimo 6 m^3/h. Dotato di protezione termica. Risponde alla classificazione IPX8 (impermeabilità completa anche oltre mt 1 di acqua). Il corpo in resina antiurto garantisce durata nel tempo e resistenza agli ambienti umidi. Il cavo di alimentazione è lungo ben 10mt per facilitare l’utilizzo lontano da fonti energetiche. L’imballo contiene: 1 elettropompa con galleggiante",/images/hyundai_prodotti/35610ELETTROPOMPAHYUNDAIQ25023M250W.webp,ELETTROPOMPE,https://www.vincoasti.com/prodotto/35610-elettropompa-hyundai-q25023m-250w/
35615 – ELETTROPOMPA HYUNDAI JGP6004 600W,Hyundai,"Elettropompa di superficie Hyundai per l’aspirazione di acque chiare per utilizzo medio/alto. Ideale per irrigazione di orti e giardini, utilizzo in emergenza in caso di allagamenti. Profondità massima di uso di m.8, altezza massima m.35, flusso massimo 30 m^3/h. Dotato di protezione termica. Risponde alla classificazione IPX4 (impermeabilità in ambienti umidi, pioggia e spruzzi). Il corpo in resina antiurto garantisce durata nel tempo e resistenza agli ambienti umidi. Il cavo di alimentazione è lungo ben 10mt per facilitare l’utilizzo lontano da fonti energetiche. L’imballo contiene: 1 elettropompa con galleggiante",/images/hyundai_prodotti/35615ELETTROPOMPAHYUNDAIJGP6004600W.webp,ELETTROPOMPE,https://www.vincoasti.com/prodotto/35615-elettropompa-hyundai-jgp6004-600w/
35611 – ELETTROPOMPA HYUNDAI Q75023M 750W,Hyundai,"Elettropompa a immersione Hyundai per l’aspirazione di acque chiare per utilizzo medio. Ideale per il drenaggio di acque di infiltrazione, irrigazione di orti e giardini, utilizzo in emergenza in caso di allagamenti. Dotato di galleggiante per l’azionamento automatico. Profondità massima di uso di m.7, altezza massima m.8,5, flusso massimo 12,5 m^3/h. Dotato di protezione termica. Risponde alla classificazione IPX8 (impermeabilità completa anche oltre mt 1 di acqua). Il corpo in resina antiurto garantisce durata nel tempo e resistenza agli ambienti umidi. Il cavo di alimentazione è lungo ben 10mt per facilitare l’utilizzo lontano da fonti energetiche. L’imballo contiene: 1 elettropompa con galleggiante",/images/hyundai_prodotti/35611ELETTROPOMPAHYUNDAIQ75023M750W.webp,ELETTROPOMPE,https://www.vincoasti.com/prodotto/35611-elettropompa-hyundai-q75023m-750w/
35360 – ELETTROSEGA HYUNDAI SF7J135,Hyundai,"Elettrosega da taglio Hyundai ottima per lavori di giardinaggio, falegnameria e carpenteria anche in ambienti chiusi. Compatta ma potente, permette il taglio fino a diametri di 350mm. Il massimo dell’ergonomia e della facilità d’uso: impugnatura soft-grip, sistema antitrazione per evitare il distacco della presa elettrica durante il lavoro, tendicatena senza attrezzi (basta girare la comoda rotella). Un indicatore permette di verificare la presenza di olio per la catena con un semplice colpo d’occhio. L’imballo contiene: 1 elettrosega.",/images/hyundai_prodotti/35360ELETTROSEGAHYUNDAISF7J135.webp,ELETTROSEGA,https://www.vincoasti.com/prodotto/35360-elettrosega-hyundai-sf7j135/
35145 – ELETTROZAPPA HYUNDAI 1KW 36CM,Hyundai,"Elettrozappa Hyundai per piccole superfici, estremamente maneggevole ed adatta anche a terreni con poco spazio di manovra. Struttura rinforzata in acciaio. Grazie alle zappe forgiate, lavora a 205 mm di profondità e con un’ampiezza massima di 360mm. L’imballo contiene: 1 motozappa – 1 set attrezzi",/images/hyundai_prodotti/35145ELETTROZAPPAHYUNDAI1KW36CM.webp,ELETTROZAPPA,https://www.vincoasti.com/prodotto/35145-elettrozappa-hyundai-1kw-36cm/
65910 – MINITRANSPORTER HYUNDAI 750KG 212CC,Hyundai,"Motocarriola a cingoli Hyundai, con motore 4 tempi benzina 5KW, 7HP, cilindrata 212cc. Dotato di sponde a cerniera, ha un angolo di ribaltamento max di 50° e capacità di arrampicamento fino a pendenza di 25°. L’avviamento è a strappo ed è dotato di 3+1 marce. L’impugnatura della frizione dal design professionale garantisce una maggiore sicurezza e praticità durante il funzionamento",/images/hyundai_prodotti/65910MINITRANSPORTERHYUNDAI750KG212CC.webp,MINITRANSPORTER,https://www.vincoasti.com/prodotto/65910-minitransporter-hyundai-750kg-212cc/
65900 – MINITRANSPORTER HYUNDAI 320KG 196CC PER CARICO MAX 320 KG,Hyundai,"Motocarriola a cingoli Hyundai, con motore 4 tempi benzina 5KW, 6,5HP, cilindrata 196cc. Dotato di sponde a cerniera, ha un angolo di ribaltamento max di 60° e capacità di arrampicamento fino a pendenza di 25°. L’avviamento è a strappo ed è dotato di 6+2 marce. L’impugnatura della frizione dal design professionale garantisce una maggiore sicurezza e praticità durante il funzionamento",/images/hyundai_prodotti/65900MINITRANSPORTERHYUNDAI320KG196CCPERCARICOMAX320KG.webp,MINITRANSPORTER,https://www.vincoasti.com/prodotto/65900-minitransporter-hyundai-320kg-196cc-per-carico-max-320-kg/
65920 – MINITRANSPORTER HYUNDAI 300KG,Hyundai,"Motocarriola a ruote pneumatiche Hyundai, con motore 4 tempi benzina 1,4KW. Dotato di scossa in acciaio smaltato, ha un angolo di ribaltamento max di 80° e capacità di arrampicamento fino a pendenza di 25°. L’avviamento è a strappo ed è dotato di 3+1 marce. L’impugnatura della frizione dal design professionale garantisce una maggiore sicurezza e praticità durante il funzionamento",/images/hyundai_prodotti/65920MINITRANSPORTERHYUNDAI300KG.webp,MINITRANSPORTER,https://www.vincoasti.com/prodotto/65920-minitransporter-hyundai-300kg/
65850 – MOTOFALCIATRICE HYUNDAI,Hyundai,"Motofalciatrice Hyundai JRF-1001AV-2 con motore Loncin da 196 cc e potenza 3,5 kW. Larghezza di taglio 87 cm, superficie consigliata fino a 4000 m². Movimento lame singolo, monomarcia, trasmissione a cinghia e avviamento a strappo. Serbatoio da 1,2 L, rumorosità 108 dB. Ideale per la cura di terreni ampi ed erbosi.",/images/hyundai_prodotti/65850MOTOFALCIATRICEHYUNDAI.webp,MOTOFALCIATRICE,https://www.vincoasti.com/prodotto/65850-motofalciatrice-hyundai/
35605 – MOTOPOMPA 4T DOP.ROTORE HYUNDAI WP50H-2,Hyundai,"Motopompa Hyundai da irrigazione autoadescante acque chiare per superfici medio/grandi o per utilizzo di emergenza (allagamenti, trasferimento acqua da cisterne, pozzi e invasi). L’imballo contiene: 1 motopompa – bocchette di aspirazione e mandata – fascette in metallo – filtro di aspirazione",/images/hyundai_prodotti/35605MOTOPOMPA4TDOPROTOREHYUNDAIWP50H-2.webp,MOTOPOMPA,https://www.vincoasti.com/prodotto/35605-motopompa-4t-dop-rotore-hyundai-wp50h-2/
35601 – MOTOPOMPA HYUNDAI,Hyundai,"Motopompa Hyundai da irrigazione autoadescante acque chiare per superfici medio/piccole o per utilizzo di emergenza (allagamenti, trasferimento acqua da cisterne, pozzi e invasi). L’imballo contiene: 1 motopompa – bocchette di aspirazione e mandata – fascette in metallo – filtro di aspirazione",/images/hyundai_prodotti/35601MOTOPOMPAHYUNDAI.webp,MOTOPOMPA,https://www.vincoasti.com/prodotto/35601-motopompa-hyundai/
35604 – MOTOPOMPA 4 TEMPI HYUNDAI WP80 3′,Hyundai,"Motopompa Hyundai da irrigazione autoadescante acque chiare per superfici medio/grandi o per utilizzo di emergenza (allagamenti, trasferimento acqua da cisterne, pozzi e invasi). L’imballo contiene: 1 motopompa – bocchette di aspirazione e mandata – fascette in metallo – filtro di aspirazione",/images/hyundai_prodotti/35604MOTOPOMPA4TEMPIHYUNDAIWP803.webp,MOTOPOMPA,https://www.vincoasti.com/prodotto/35604-motopompa-4-tempi-hyundai-wp80-3/
35603 – MOTOPOMPA 2T HYUNDAI 52CC 2HP 3.8CM,Hyundai,"Motopompa Hyundai compatta da irrigazione autoadescante acque chiare e scure, per superfici medie o per utilizzo di emergenza (allagamenti, trasferimento acqua da cisterne, pozzi e invasi). L’imballo contiene: 1 motopompa – bocchette di aspirazione e mandata – fascette in metallo – filtro di aspirazione",/images/hyundai_prodotti/35603MOTOPOMPA2THYUNDAI52CC2HP38CM.webp,MOTOPOMPA,https://www.vincoasti.com/prodotto/35603-motopompa-2t-hyundai-52cc-2hp-3-8cm/
"35090 – MOTOSEGA HYUNDAI 56CC 60 cm 2,3 KW",Hyundai,"Motosega a scoppio Hyundai con motore 2 tempi da 56 cc e potenza di 2,3 kW (3,13 HP), ideale per lavori di taglio intensivo. Barra da 60 cm, passo catena 3/8″, velocità catena 24 m/s e diametro di taglio fino a 50 cm. Serbatoio carburante da 550 ml. Dotata di sistema antivibrazioni, impugnatura soft grip, motore EURO 5 e borsa Hyundai in poliestere inclusa.",/images/hyundai_prodotti/35090MOTOSEGAHYUNDAI56CC60cm23KW.webp,MOTOSEGA,https://www.vincoasti.com/prodotto/35090-motosega-hyundai-56cc-60-cm-23-kw/
35030 – MOTOSEGA HYUNDAI STORM 49CC YS-5020G,Hyundai,"Motosega Hyundai con scocca corazzata in magnesio: può sopportare il peso di un veicolo senza rompersi! Motosega da taglio ideale per i lavori stagionali, per frutteti, alberi ornamentali e tutti gli interventi di cura del proprio giardino. Idonea all’abbattimento e per il taglio di legna da ardere. Taglia rami e arbusti fino a 45 cm di diametro! Carburatore Hyundai, freno di sicurezza e robustezza costruttiva permettono un utilizzo sicuro ed affidabile. L’imballo contiene: 1 motosega – 1 set attrezzi – 1 tanica per miscela – 1 borsa per trasporto",/images/hyundai_prodotti/35030MOTOSEGAHYUNDAISTORM49CCYS-5020G.webp,MOTOSEGA,https://www.vincoasti.com/prodotto/35030-motosega-hyundai-storm-49cc-ys-5020g/
