name,sku,description,image_url,category
Flessometro tascabile 3 m,dwht36098-1,"Flessometro tascabile 3 m

Il flessometro tascabile  DEWALT da 3 m è estremamente compatto.  Dotato di magnete nella posteriore della cassa.",/images/dewalt_products_resto/Flessometrotascabile3m.webp,N/A
1.5kg | 3.5Ib Chopping Axe,dwht56032-0,"1.5kg | 3.5Ib Chopping Axe

The DEWALT® 1.6kg (3.5 Ib) Single Bit Axe is designed to withstand harsh forestry environments and to make the user’s job easier. With a hollow, light-weight handle, swings are quicker and more balanced for deeper, easier cuts. Scalloped cutting edges easily cut into wood and release from material. This axe has our carbon fibre composite overstrike to protect the most vulnerable part of the tool where most long handle tools commonly break.",/images/dewalt_products_resto/15kg35IbChoppingAxe.webp,N/A
Morsetto parallelo 1200 mm,dwht83832-1,"Morsetto parallelo 1200 mm

Il Morsetto parallelo DEWALT 1200 mm è progettato per fornire una pressione di serraggio fino a 680 kg. Ideale per utilizzo con legno, in particolare per incollare porte o piani di tavoli. Dotato di maniglia ergonomica in bi material per una presa ottimale e grande capacità di serraggio",/images/dewalt_products_resto/Morsettoparallelo1200mm.webp,N/A
Tronchese diagonale mm200,dwht0-74274,"Tronchese diagonale mm200

Trochese diagonale DEWALT. Grazie alla speciale configurazione della punta taglia e rimuove chiodi e graffe. Taglienti temprati ad induzione che mantengono a lungo l'affilatura e consentono un taglio raso.",/images/dewalt_products_resto/Tronchesediagonalemm200.webp,N/A
Cutter con rotella di bloccaggio 25 mm,dwht10333-0,"Cutter con rotella di bloccaggio 25 mm

Il cutter DEWALT 25 mm con rotella di bloccaggio per sicurezza extra. L'elemento spezza lama permette di avere sempre una lama affilata.",/images/dewalt_products_resto/Cutterconrotelladibloccaggio25mm.webp,N/A
Seghetto 5 in 1,dwht0-20547,"Seghetto 5 in 1

Il seghetto 5 in 1 DEWALT  ha un profilo sottile che ne permette l'utilizzo anche in spazi ristretti. La robusta intelaiatura permette una tensione della lama fino a 150 kg. Lama regolabile a 45° o 90° per taglio standard o raso.",/images/dewalt_products_resto/Seghetto5in1.webp,N/A
Cutter in metallo autobloccante da 25 mm,dwht10045-0,"Cutter in metallo autobloccante da 25 mm

Il cutter in metallo DEWAL da 25 mm è resistente alla ruggine ed è dotato di cursore autobloccante che permette una precisa regolazione della lama. L'elemento spezza lama permette di avere sempre una lama perfettamente affilata.",/images/dewalt_products_resto/Cutterinmetalloautobloccanteda25mm.webp,N/A
Set 3 pinze Compound Action,dwht0-70485,"Set 3 pinze Compound Action

Il set di 3 pinze Set 3 pinze Compound Action è dotato di taglienti temprati ad induzione per maggior robustezza e durata",/images/dewalt_products_resto/Set3pinzeCompoundAction.webp,N/A
Morsetto a barra medio mm300,dwht0-83140,"Morsetto a barra medio mm300

Il morsetto a barra DEWALT da 300 mm è versatile e semplice da utilizzare. La struttura in nylon rinforzato e la barra in acciaio temprato garantiscono robustezza e durata. Con una pressione di serraggio di 63 kg, una profondità di 62 mm, le ganasce removibili, questo morsetto è stato progettato per superare le aspettative degli utilizzatori professionali.",/images/dewalt_products_resto/Morsettoabarramediomm300.webp,N/A
Livella torpedo compatta  165 mm,dwht42525-0,"Livella torpedo compatta  165 mm

La livella torpedo compatta  DEWALT 165 mm è ideale per utilizzo in spazi ristretti. Struttura in alluminio estruso di lunga durata. finestrelle superiori e inferiori per una lettura della fiala rapida e precisa in qualsiasi angolazione. Base a V con magneti per grande stabilità anche su tubi.",/images/dewalt_products_resto/Livellatorpedocompatta165mm.webp,N/A
"380mm | 15"" Panel Saw",dwht0-20544,"380mm | 15"" Panel Saw

The DEWALT® 380mm (15"") Panel Saw has a 3-sided tooth design allowing the user to cut up to 50% faster than traditional hand saws. Not only is this saw faster but it preserves sharpness due to the induction-hardened teeth. This provides long-lasting sharpness for the job at hand. The Tough Coat™ provides a low-friction coating for less drag.",/images/dewalt_products_resto/380mm15PanelSaw.webp,N/A
Morsetto parallelo 600 mm,dwht83831-1,"Morsetto parallelo 600 mm

Il Morsetto parallelo DEWALT 600 mm è progettato per fornire una pressione di serraggio fino a 680 kg. Ideale per utilizzo con legno, in particolare per incollare porte o piani di tavoli. Dotato di maniglia ergonomica in bi material per una presa ottimale e grande capacità di serraggio.",/images/dewalt_products_resto/Morsettoparallelo600mm.webp,N/A
Morsetto a barra medio mm150,dwht0-83139,"Morsetto a barra medio mm150

Il morsetto a barra DEWALT da 150 mm è versatile e semplice da utilizzare. La struttura in nylon rinforzato e la barra in acciaio temprato garantiscono robustezza e durata. Con una pressione di serraggio di 63 kg, una profondità di 62 mm, le ganasce removibili, questo morsetto è stato progettato per superare le aspettative degli utilizzatori professionali.",/images/dewalt_products_resto/Morsettoabarramediomm150.webp,N/A
Rotella metrica 30m nastro in acciaio,dwht0-34093,"Rotella metrica 30m nastro in acciaio

Rotella metrica DEWALT 30m con nastro in acciaio resistente alla ruggine di lunga durata. Manovella per il riavvolgimento rapido con rapporto 5:1 Fornita con moschettone con molla e un trasporto agevole",/images/dewalt_products_resto/Rotellametrica30mnastroinacciaio.webp,N/A
Folding Locking Hex Keys Metric,dwht0-70263,"Folding Locking Hex Keys Metric

The DEWALT® Folding Locking Hex Key (MM) includes a push-button locking feature allowing for 3 positions and includes 8 of the most commonly used hex key sizes.",/images/dewalt_products_resto/FoldingLockingHexKeysMetric.webp,N/A
Flessometro Premium 5m,dwht0-36114,"Flessometro Premium 5m

Il flessometro DEWALT Premium 5 m è ideale per uso intenso, sopratutto in edilizia. Dotato di una cassa robusta per una maggiore protezione e durata, con rivestimento in gomma. Rivetto TRUE-ZERO® per misure perfette sia interne che esterne. Nastro da 32mm con rivestimento termoplastico che assicura rigidità in estensione fino a 4m",/images/dewalt_products_resto/FlessometroPremium5m.webp,N/A
Livella a sezione rettangolare 180 cm,dwht0-43172,"Livella a sezione rettangolare 180 cm

La livella DEWALT  da 180 cm a sezione rettangolare garantisce precisione e durata grazie alle fiale antichoc e alla struttura in metallo robusta con estremità rivestite in gomma",/images/dewalt_products_resto/Livellaasezionerettangolare180cm.webp,N/A
Morsetto a barra XL mm300,dwht0-83185,"Morsetto a barra XL mm300

Il morsetto a barra DEWALT da 300 mm è versatile e semplice da utilizzare. La struttura in nylon rinforzato e la barra in acciaio temprato garantiscono robustezza e durata. Con una pressione di serraggio di 270 kg, una profondità di 95 mm. Il pulsante di rilascio consente di trasformare il morsetto in allargatore. Il rivestimento delle ganasce è removibile per non lasciare segni sul materiale",/images/dewalt_products_resto/MorsettoabarraXLmm300.webp,N/A
Flacone polvere rossa 225 g,dwht47048-9,"Flacone polvere rossa 225 g

Flacone polvere rossa 225 g DEWALT. Bottiglia con forma ovale che non rotola sulle superficie di lavoro. Ampia apertura per facilitare la fuoriuscita della polvere.",/images/dewalt_products_resto/Flaconepolvererossa225g.webp,N/A
Martello XP grande velocità 400 g,dwht51145-0,"Martello XP grande velocità 400 g

Il martello DEWALT grande velocità da 400 g ha una potenza pari ad un martello da 794 g. Completamente in acciaio di grande durata . Incavo portachiodo magnetico per utilizzo con una mano.L'impugnatura assorbe le vibrazioni per maggior comfort dell'utilizzatore. La penna può essere utilizzata anche per l'estrazione dei chiodi.",/images/dewalt_products_resto/MartelloXPgrandevelocità400g.webp,N/A
Tracciatore 6:1,dwht47399-0,"Tracciatore 6:1

Tracciatore con meccanismo di riavvolgimento rapido 6:1 DEWALT, adatto ad una grande varietà di impieghi. Con ingranaggio planetario per maggior durata del meccanismo di avvolgimento. Apertura extra large per un rapido rabbocco del tracciatore.",/images/dewalt_products_resto/Tracciatore61.webp,N/A
Coltello sport pieghevole,dwht0-10313,"Coltello sport pieghevole

Il coltello sport pieghevole DEWALT ha una lama in acciaio Inox uso intenso di lunga durata. La lama seghettata permette di tagliare senza sforzo una grande varietà di materiali. Dotato di spella cavi per cavi da 12 / 14 gauge",/images/dewalt_products_resto/Coltellosportpieghevole.webp,N/A
Set 3 cacciachiodi,dwht0-58018,"Set 3 cacciachiodi

Set 3 cacciachiodi. Composizione del set: mm 0,8-1,5-2,4 Impugnatura Bi Material offre grande comfort e assorbe i colpi.",/images/dewalt_products_resto/Set3cacciachiodi.webp,N/A
Livella Torpedo 250mm,dwht0-43003,"Livella Torpedo 250mm

Livella Torpedo DEWALT 250, in alluminio estruso robusta e di lunga durata. Base con scanalatura a V per uso su superfici rotonde.",/images/dewalt_products_resto/LivellaTorpedo250mm.webp,N/A
"Mazza EXOCORE® 4,5 kg",dwht56029-0,"Mazza EXOCORE® 4,5 kg

Mazza DEWALT EXOCORE® da 4,5 kg con impugnatura in fibra composita di carbonio con elemento di protezione nel punto di maggiore criticità. Battente smussato per una precisa trasmissione della forza.",/images/dewalt_products_resto/MazzaEXOCORE45kg.webp,N/A
Cutter autobloccante da 18mm con serbatoio,dwht0-10249,"Cutter autobloccante da 18mm con serbatoio

Il cutter DEWALT da 18mm ha un cursore autobloccante per una veloce regolazione della lama. Dotato di elemento spezza lama integrato per una lama sempre affilata. Caricamento automatico della lama. Il serbatoio può contenere fino a 6 lame. Il cutter viene fornito con 3 lame CARBIDE, 10 volte più durevoli di una lama standard al carbonio.",/images/dewalt_products_resto/Cutterautobloccanteda18mmconserbatoio.webp,N/A
Cesoia da lattoniere taglio destro,dwht14674-0,"Cesoia da lattoniere taglio destro

Le cesoie da lattoniere DEWALT presentano una minor apertura delle impugnature che consentono un minor sforzo nel taglio dei materiali. Questo utensile viene tradizionalmente usato per il taglio di fogli di alluminio, rivestimenti in vinile, lastre di cartongesso, cuoio, rame e fogli di metallo da 22-Gauge. La forma innovativa delle punte permette un taglio pulito. Le impugnature Bi Material assicurano una presa confortevole",/images/dewalt_products_resto/Cesoiadalattonieretagliodestro.webp,N/A
Livella a sezione rettangolare 120 cm,dwht0-43248,"Livella a sezione rettangolare 120 cm

La livella DEWALT  da 120 cm a sezione rettangolare garantisce precisione e durata grazie alle fiale antichoc e alla struttura in metallo robusta con estremità rivestite in gomma",/images/dewalt_products_resto/Livellaasezionerettangolare120cm.webp,N/A
Confezione 3 lame a spezzare 18 mm,dwht11719-0,"Confezione 3 lame a spezzare 18 mm

Le lame a spezzare DEWALT  consentono di avere sempre una lama  perfettamente affilata",/images/dewalt_products_resto/Confezione3lameaspezzare18mm.webp,N/A
Flacone polvere blu 225 g,dwht47049-9,"Flacone polvere blu 225 g

Flacone polvere blu 225 g DEWALT. Bottiglia con forma ovale che non rotola sulle superficie di lavoro. Ampia apertura per facilitare la fuoriuscita della polvere.",/images/dewalt_products_resto/Flaconepolvereblu225g.webp,N/A
Levachiodi tipo giapponese 254mm,dwht0-55524,"Levachiodi tipo giapponese 254mm

Il levachiodi giapponese DEWALT da 254mm ha una superficie battente extra large che migliora la precisione del colpo e previene danni al legno",/images/dewalt_products_resto/Levachioditipogiapponese254mm.webp,N/A
Metro a nastro premium da 10 m,dwht0-36116,"Metro a nastro premium da 10 m

The DEWALT® 10m Premium Tape Measure is ideal for heavy-duty commercial framing and other construction measuring tasks. This tape has been put to the test and features a reinforced tough case for added protection and durability and cast metal impact plate to absorb shock when dropped. It also features extensive rubber over-molding to improve grip. Our innovative TRUE-ZERO® large hook offers ultimate grip and accuracy. The 32mm coated blade has a 4m Standout, ideal for when working alone.",/images/dewalt_products_resto/Metroanastropremiumda10m.webp,N/A
Pinza poligrip con ganascia a V mm 250,dwht0-74431,"Pinza poligrip con ganascia a V mm 250

La pinza poligrip DEWALT 250 mm è dotata di ganasce lunghe che consentono una superficie  di serraggio più ampia. L'apertura della ganasce consente di operare su bulloni o tubi più larghi rendendola un utensile indispensabile. Impugnatura Bi Material per maggior confort e controllo.",/images/dewalt_products_resto/PinzapoligripconganasciaaVmm250.webp,N/A
Livella a sezione rettangolare 60cm,dwht0-43224,"Livella a sezione rettangolare 60cm

La livella DEWALT  da 60 cm a sezione rettangolare garantisce precisione e durata grazie alle fiale antichoc e alla struttura in metallo robusta con estremità rivestite in gomma",/images/dewalt_products_resto/Livellaasezionerettangolare60cm.webp,N/A
Segaccio per legno 500mm,dwht0-20545,"Segaccio per legno 500mm

Il segaccio per legno DEWALT da 500mm ha una tripla affilatura dei denti che consente un taglio più rapido del 50% rispetto ad una lama tradizionale. La dentatura temprata ad induzione mantiene l'affilatura più a lungo. Il rivestimento della lama Tough Coat™ conferisce maggior durata alla lama, diminuisce la frizione e facilita il controllo durante il taglio.",/images/dewalt_products_resto/Segaccioperlegno500mm.webp,N/A
Morsetto a barra XL 600 mm,dwht0-83186,"Morsetto a barra XL 600 mm

Il morsetto a barra DEWALT da 600 mm è versatile e semplice da utilizzare. La struttura in nylon rinforzato e la barra in acciaio temprato garantiscono robustezza e durata. Con una pressione di serraggio di 270 kg, una profondità di 95 mm. Il pulsante di rilascio consente di trasformare il morsetto in allargatore. Il rivestimento delle ganasce è removibile per non lasciare segni sul materiale",/images/dewalt_products_resto/MorsettoabarraXL600mm.webp,N/A
Levachiodi tipo americano 300mm,dwht55518-1,"Levachiodi tipo americano 300mm

Levachiodi tipo americano DEWALT 300mm  a sezione piatta. Con estremità ampie per maggiore leva. Le estremità possono essere utilizzate come levachiodo o levagraffe.",/images/dewalt_products_resto/Levachioditipoamericano300mm.webp,N/A
Confezione 10 lame a trapezio grande,dwht11004-2,"Confezione 10 lame a trapezio grande

Le lame a trapezio DEWALT garantiscono lunga durata e una perfetta affilatura. Utilizzabili sulla maggior parte dei coltelli. Ogni confezione contiene 10 lame.",/images/dewalt_products_resto/Confezione10lameatrapeziogrande.webp,N/A
Cesoia da lattoniere taglio sinistro,dwht14673-0,"Cesoia da lattoniere taglio sinistro

Le cesoie da lattoniere DEWALT presentano una minor apertura delle impugnature che consentono un minor sforzo nel taglio dei materiali. Questo utensile viene tradizionalmente usato per il taglio di fogli di alluminio, rivestimenti in vinile, lastre di cartongesso, cuoio, rame e fogli di metallo da 22-Gauge. La forma innovativa delle punte permette un taglio pulito. Le impugnature Bi Material assicurano una presa confortevole",/images/dewalt_products_resto/Cesoiadalattonieretagliosinistro.webp,N/A
"Mazza EXOCORE® 3,6 kg",dwht56028-0,"Mazza EXOCORE® 3,6 kg

Mazza DEWALT EXOCORE® da 3,6 kg con impugnatura in fibra composita di carbonio con elemento di protezione nel punto di maggiore criticità. Battente smussato per una precisa trasmissione della forza.",/images/dewalt_products_resto/MazzaEXOCORE36kg.webp,N/A
Rotella metrica nastro in fiberglass 30 m,dwht34218-0,"Rotella metrica nastro in fiberglass 30 m

Rotella metrica DEWALT da 30 m con nastro in Fiberglass e manovella per il riavvolgimento rapido con rapporto 3:1 Struttura robusta per  uso intenso. Ideale per geometri, periti e molte altre applicazioni.",/images/dewalt_products_resto/Rotellametricanastroinfiberglass30m.webp,N/A
Graffatrice /  Chiodatrice uso intenso,dwhttr350-0,"Graffatrice /  Chiodatrice uso intenso

La Graffatrice /  Chiodatrice DEWALT per uso intenso  ha una struttura in alluminio leggero e durevole. Pressione facilitata, riduce lo sforzo necessario per imprimere il colpo. Meccanismo anti inceppamento dei punti.",/images/dewalt_products_resto/GraffatriceChiodatriceusointenso.webp,N/A
Set di 6 giraviti,dwht0-62056,"Set di 6 giraviti

Set 6 giraviti DEWALT  con lama esagonale in acciaio ad alte prestazioni. Punta FULL FIT per una presa perfetta che garantisce una maggiore superficie di contatto. Impugnatura quadrilobata per comfort e capacità di serraggio ottimali.",/images/dewalt_products_resto/Setdi6giraviti.webp,N/A
Set 2 giraviti,dwht0-62057,"Set 2 giraviti

Set 2 giraviti DEWALT  con lama esagonale in acciaio ad alte prestazioni. Punta FULL FIT per una presa perfetta che garantisce una maggiore superficie di contatto. Impugnatura quadrilobata per comfort e capacità di serraggio ottimali.",/images/dewalt_products_resto/Set2giraviti.webp,N/A
